NAME,OPERATIONAL_STATUS,ATTRIBUTE_SOURCE,CUSTODIAN_AGENCY,CUSTODIAN_LICENSING,CLASS,VOLTAGE,ADDRESS,LATITUDE,LONGITUDE
Terranora,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Terranora New South Wales,-28.24114857,153.5035479
Dunoon,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Dunoon New South Wales,-28.69214723,153.3131433
Mullumbimby,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Wilsons Creek New South Wales,-28.57120456,153.452796
Lismore 132,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Bulk Supply Point,132,South Lismore New South Wales,-28.81892858,153.2434501
Raleigh,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Raleigh New South Wales,-30.46264602,153.0012939
Port Macquarie,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Thrumster New South Wales,-31.44982294,152.8354461
Rothbury,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Rothbury New South Wales,-32.71211915,151.3276606
Capral,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Sole Use,132,Loxford New South Wales,-32.7856318,151.4795463
Stroud,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Stroud Road New South Wales,-32.3476006,151.9283846
Bayswater,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,500,Muswellbrook New South Wales,-32.3994582,150.9460989
Liddell,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,330,Muswellbrook New South Wales,-32.37124072,150.9750383
Vales Point,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Mannering Park New South Wales,-33.15916442,151.5416646
Munmorah,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Colongra New South Wales,-33.20980153,151.5401028
Eraring,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,500,Eraring New South Wales,-33.06259732,151.515431
Coffs Harbour,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Karangi New South Wales,-30.25283746,153.0369103
Kempsey,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,South Kempsey New South Wales,-31.09819844,152.8193008
Tamworth,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Hillvue New South Wales,-31.13134734,150.924909
Tamworth,Operational,AEMO-Australian Energy Market Operators 2015,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Calala New South Wales,-31.14681288,150.951367
Armidale,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Armidale New South Wales,-30.53269875,151.7129952
Maroubra,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Maroubra New South Wales,-33.94231012,151.2379975
Beaconsfield West,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Bulk Supply Point,330,Alexandria New South Wales,-33.91506805,151.1872355
St Peters,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Erskineville New South Wales,-33.9066129,151.1830853
Marrickville,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Marrickville New South Wales,-33.91203954,151.1622971
Meadowbank,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Meadowbank New South Wales,-33.81361728,151.0936701
Macquarie Park,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Macquarie Park New South Wales,-33.78672467,151.1329128
Green Square,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Alexandria New South Wales,-33.91232539,151.194463
Peakhurst,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Mortdale New South Wales,-33.96629447,151.0626639
Haymarket,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Haymarket New South Wales,-33.88141732,151.2022468
Warrimoo,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Warrimoo New South Wales,-33.73303758,150.6029665
Mount Druitt,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,North St Marys New South Wales,-33.76358037,150.7920815
Penrith,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Penrith New South Wales,-33.74658609,150.6923709
Macarthur,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Bulk Supply Point,330,Menangle Park New South Wales,-34.08528132,150.7663115
Liverpool,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Prestons New South Wales,-33.93267276,150.8657731
Tallawarra,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,132,Yallah New South Wales,-34.52224741,150.8071537
Kangaroo Valley,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Kangaroo Valley New South Wales,-34.72380026,150.4817139
Lower Tumut,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Talbingo New South Wales,-35.60647331,148.2886573
Jindabyne,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Jindabyne New South Wales,-36.41475631,148.5980544
Forbes,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Forbes New South Wales,-33.36528754,148.0196618
Buronga,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Wentworth New South Wales,-34.10282952,142.259513
Portland Aluminium,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,Portland Victoria,-38.38686139,141.6255497
Wodonga,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,330,Baranduda Victoria,-36.15481513,146.9501485
Hume,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,132,Lake Hume Village New South Wales,-36.10540959,147.0325562
Clover,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,220,Bogong Victoria,-36.78578336,147.2194456
Jeeralang,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Hazelwood North Victoria,-38.27692112,146.4244822
East Rowville,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Rowville Victoria,-37.94095825,145.2363406
Waubra,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Transmission,220,Waubra Victoria,-37.3559815,143.605915
Anglesea,Non-Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,220,Anglesea Victoria,-38.38547951,144.1836857
Malvern,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Malvern East Victoria,-37.8778287,145.0844323
Brunswick,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Brunswick East Victoria,-37.77266982,144.9843333
West Melbourne,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Kensington Victoria,-37.80034051,144.9348533
Richmond,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Richmond Victoria,-37.83113541,145.0015809
Yallourn,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Transmission,220,Yallourn Victoria,-38.17413773,146.3499137
Morwell,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Morwell Victoria,-38.2588285,146.4198975
Morwell,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Morwell Victoria,-38.2571645,146.4208465
Basslink-Loy Yang,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,500,Loy Yang Victoria,-38.26230304,146.6080845
Western Port,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Hastings Victoria,-38.28193743,145.2083069
Somerton ,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,500,Somerton Victoria,-37.6313695,144.9529774
Ringwood,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,Ringwood Victoria,-37.82083468,145.2155772
Boambee South,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Boambee New South Wales,-30.34512337,153.0673105
Nambucca,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Valla New South Wales,-30.62033395,152.9584911
South Morang,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,South Morang Victoria,-37.64448216,145.0784356
Heywood,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,Heywood Victoria,-38.180773,141.639092
Mount Beauty,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,220,Mount Beauty Victoria,-36.7438865,147.1658615
Eildon,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,220,Eildon Victoria,-37.22370778,145.9209195
Glenrowan,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Winton Victoria,-36.49350287,146.1319724
Fosterville,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Axedale Victoria,-36.7382295,144.5106208
Chullora,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Strathfield New South Wales,-33.8789595,151.0658015
Sydney North,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Bulk Supply Point,330,Dural New South Wales,-33.6556305,151.0301025
Mason Park,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Homebush New South Wales,-33.8563485,151.074597
Sydney East,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Belrose New South Wales,-33.7258225,151.2082815
Bannaby,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,500,Bannaby New South Wales,-34.4417455,150.051059
Wallerawang,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Wallerawang New South Wales,-33.40641184,150.0810697
Wallerawang,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Wallerawang New South Wales,-33.40318111,150.080755
Orange,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Orange New South Wales,-33.2796915,149.1059045
Wellington Town,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Wellington New South Wales,-32.57035042,148.9547361
Mount Piper,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,500,Blackmans Flat New South Wales,-33.36388454,150.0261141
Panorama,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Evans Plains New South Wales,-33.43021987,149.5213612
Mudgee,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Mudgee New South Wales,-32.58596233,149.5693477
Wellington,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Wuuluman New South Wales,-32.52717028,148.9631647
Ilford,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Ilford New South Wales,-32.95953657,149.8635928
Cooma,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,132,Cooma New South Wales,-36.21819931,149.1402751
Burrinjuck,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Burrinjuck New South Wales,-35.00094752,148.5824659
Tumut 2,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Cabramurra New South Wales,-35.8813841,148.3672174
Gadara,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Gadara New South Wales,-35.29615899,148.1354816
Guthega,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Kosciuszko National Park New South Wales,-36.34944291,148.4134294
Murray,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Khancoban New South Wales,-36.22554964,148.1442705
Coleambally,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Coleambally New South Wales,-34.74101302,145.953707
Tumut 132,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Tumut New South Wales,-35.2990895,148.2036495
Wagga 330,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,330,Gregadoo New South Wales,-35.20043347,147.3935504
Kingston,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,110,Kingston Tasmania,-42.98950095,147.280737
Electrona,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,110,Electrona Tasmania,-43.05731181,147.2612906
Knights Road,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,110,Huonville Tasmania,-43.0229495,147.0739325
Kermandie,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,110,Geeveston Tasmania,-43.164399,146.945575
Bridgewater,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Bridgewater Tasmania,-42.7315171,147.2312536
Gordon,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,220,Southwest Tasmania,-42.740497,145.9820005
New Norfolk,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,New Norfolk Tasmania,-42.780562,147.0786275
Derwent Bridge,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Derwent Bridge Tasmania,-42.1409995,146.2248025
Tungatin,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,110,Tarraleah Tasmania,-42.2976905,146.4572095
Waddamana 110,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Waddamana Tasmania,-42.1251965,146.745081
Arthurs Lake,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Arthurs Lake Tasmania,-41.98802199,146.8619927
Keith,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,132,Stirling South Australia,-36.1079139,140.2990887
Port Latta,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Port Latta Tasmania,-40.85405883,145.3780793
Savage River,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Savage River Tasmania,-41.487575,145.2123595
Ulverstone,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Ulverstone Tasmania,-41.1715935,146.1622845
Burnie 220,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,220,Acton Tasmania,-41.07677119,145.8912019
Emu Bay,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,South Burnie Tasmania,-41.06570524,145.9140993
Railton,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Railton Tasmania,-41.33408031,146.4233349
Goulburn,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Goulburn New South Wales,-34.76945811,149.7311585
Yass,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Yass New South Wales,-34.86259933,148.9040628
Temora,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Temora New South Wales,-34.4606461,147.5507381
Murrumburrah,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Murrumburrah New South Wales,-34.5416515,148.3133775
Olympic Dam North,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Olympic Dam South Australia,-30.44237409,136.8712978
Keilor,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,Keilor East Victoria,-37.73823859,144.8461764
Ballarat,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Terminal,220,Warrenheip Victoria,-37.56738113,143.9218558
